title,prompt_text,output_text,ai_tool_name,type_name,category_name,tags,rating,output_status,credits_used,attachment_filename,usage_count,version,ai_tool_model
Growth Hacking Strategist,Develop growth hacking strategy for [STARTUP/PRODUCT] including viral coefficient optimization referral program design A/B testing framework user acquisition channels product-led growth tactics retention optimization and analytics tracking. Focus on rapid scalable growth through data-driven experimentation.,Comprehensive growth hacking framework with focus on viral mechanics and user acquisition. Strategy includes experimental approach to growth with clear metrics and scalable tactics for rapid business expansion.,ChatGPT,Internet,Personality,"[""growth"",""experimentation""]",5,Successful,47,,132,1,GPT-4
Data Visualization Specialist,Create compelling data visualizations for [DATASET/METRICS] including chart type selection color theory application interactive dashboard design storytelling through data accessibility considerations and presentation formatting. Transform complex data into clear actionable insights for stakeholders.,Professional data visualization strategy that transforms complex information into clear insights. Approach includes design principles and storytelling techniques for effective data communication and decision-making support.,Claude,Internet,Analytics,"[""charts"",""insights""]",4,Successful,39,,165,1,Claude-3-Sonnet
Voice Search Optimization Expert,Optimize content for voice search including conversational keyword research featured snippet optimization local search optimization FAQ schema implementation natural language content creation and mobile-first indexing. Prepare content for the growing voice search market.,Strategic voice search optimization approach addressing evolving search behaviors. Strategy includes technical and content optimizations for improved visibility in voice search results and featured snippets.,ChatGPT,Internet,SEO,"[""voice"",""search""]",4,Successful,35,,187,1,GPT-4
Chatbot Conversation Designer,Design engaging chatbot conversations for [USE CASE] including conversation flow mapping personality development response variations error handling and escalation procedures user intent recognition and continuous improvement strategies. Create helpful automated customer interactions.,Comprehensive chatbot design framework focusing on user experience and conversation flow. Design includes natural language processing and escalation strategies for effective automated customer service implementation.,Claude,Internet,Chatbots,"[""chatbot"",""conversations""]",4,Successful,42,,154,1,Claude-3-Opus
Video Marketing Producer,Create video marketing strategy for [PLATFORM/BRAND] including content planning and scripting video production workflows platform optimization techniques audience engagement strategies performance analytics and content repurposing. Build sustainable video content system for brand growth.,Complete video marketing production system with platform-specific optimization strategies. Framework includes content creation workflows and engagement tactics for effective video-based marketing campaigns.,ChatGPT,Internet,Marketing,"[""video"",""production""]",4,Successful,44,,198,1,GPT-4
Loyalty Program Designer,Design customer loyalty program for [BUSINESS TYPE] including reward structure point system tier benefits referral incentives gamification elements program promotion and performance measurement. Create engaging program that drives repeat business and customer advocacy.,Strategic loyalty program design focused on customer retention and engagement. Program includes reward mechanics and gamification elements that encourage repeat business and brand advocacy through valuable incentives.,Claude,Internet,Marketing,"[""loyalty"",""rewards""]",4,Successful,41,,176,1,Claude-3-Sonnet
Marketing Attribution Analyst,Set up marketing attribution tracking for [BUSINESS] including multi-touch attribution modeling customer journey mapping channel performance analysis cross-device tracking ROI measurement and reporting dashboard creation. Understand true marketing impact across all channels.,Comprehensive attribution analysis system providing clear marketing performance insights. Framework includes advanced tracking methodologies and reporting systems for accurate marketing ROI measurement and optimization.,ChatGPT,Internet,Analytics,"[""attribution"",""tracking""]",5,Successful,43,,143,1,GPT-4
Subscription Business Optimizer,Optimize subscription business model for [SERVICE/PRODUCT] including pricing strategy optimization churn reduction tactics customer lifecycle management retention campaigns upgrade/downgrade flow design and revenue forecasting. Build sustainable recurring revenue streams.,Strategic subscription optimization framework focused on customer lifetime value and retention. Strategy includes pricing models and customer journey optimization for sustainable recurring revenue growth.,Claude,Internet,Business,"[""optimization"",""retention""]",5,Successful,46,,189,1,Claude-3-Opus
Influencer Content Creator,Create authentic influencer content for [NICHE/BRAND] including content pillars and themes authentic storytelling techniques audience engagement strategies brand partnership integration performance tracking and community building. Build genuine influence through valuable content creation.,Authentic influencer content strategy emphasizing genuine audience connection and value creation. Approach balances brand partnerships with authentic content that builds trust and long-term audience relationships.,ChatGPT,Internet,Marketing,"[""content"",""authenticity""]",4,Successful,37,,234,1,GPT-4
Cross-Platform Campaign Manager,Execute integrated marketing campaign across [PLATFORMS] including message consistency brand guideline adherence platform-specific optimization content adaptation campaign timing and coordination performance tracking and optimization. Ensure cohesive brand experience across all touchpoints.,Comprehensive cross-platform campaign strategy ensuring consistent brand messaging and optimized performance. Framework includes platform-specific tactics while maintaining unified campaign objectives and brand experience.,Claude,Internet,Marketing,"[""cross-platform"",""integration""]",4,Successful,45,,167,1,Claude-3-Sonnet
Retention Email Specialist,Design email retention campaigns for [CUSTOMER SEGMENT] including behavioral trigger identification personalized message creation win-back campaign sequences engagement scoring and customer journey optimization. Keep customers engaged and reduce churn through strategic email marketing.,Advanced email retention strategy using behavioral triggers and personalization. Campaign design focuses on customer lifecycle management and proactive churn prevention through targeted messaging and engagement tactics.,ChatGPT,Internet,Marketing,"[""retention"",""personalization""]",5,Successful,40,,198,1,GPT-4
User-Generated Content Manager,Build user-generated content strategy for [BRAND] including content campaign development community guidelines creation influencer partnerships hashtag strategies content curation and moderation reposting permissions and legal considerations. Leverage authentic customer content for brand building.,Strategic UGC approach that amplifies authentic customer voices while protecting brand integrity. Framework includes community building tactics and content curation systems for effective user-generated marketing campaigns.,Claude,Internet,UGC,"[""ugc"",""community""]",4,Successful,38,,176,1,Claude-3-Opus
Marketing Automation Architect,Build comprehensive marketing automation system for [BUSINESS TYPE] including lead scoring workflows email nurture sequences behavioral triggers customer segmentation dynamic content personalization and performance analytics. Create efficient automated marketing ecosystem.,Advanced marketing automation framework that nurtures leads and customers through personalized automated experiences. System includes sophisticated segmentation and personalization for improved conversion and customer engagement.,ChatGPT,Internet,Automation,"[""automation"",""workflows""]",5,Successful,48,,199,1,GPT-4
